STATE,state,abbrev,Summary
HAWAII,Hawaii,HI,"Summary: Loss & restoration of civil rights:  Vote lost following felony conviction only while actually incarcerated; jury and office eligibility lost upon conviction of any felony.  Vote restored upon release from incarceration; jury eligibility restored upon completion of sentence; office eligibility restored by pardon. Firearms rights:  All firearms rights lost upon conviction of any felony, drug crime, or crime of violence; restoration by pardon only if express. Pardon policy & practice:  Governor decides and may consult parole board.  No eligibility requirements.  No public hearing; parole board interviews applicant and makes recommendation to attorney general’s office, which conducts an independent investigation and makes its own recommendation to the governor.  Relieves all legal disabilities and prohibitions but does not expunge record.  Pardons infrequent. Judicial expungement & sealing:  Expungement after one year for people with nonviolent first offenses who receive deferred adjudication and for certain first time minor drug offenses.  Juveniles may move court for expungement; records of adjudications are automatically sealed.  Court may expunge non-conviction records. Consideration of conviction in employment and licensing:  Discrimination based on conviction barred under state fair employment practices law.  Only crimes committed within 10 years may be considered if there is a rational relationship to job or occupation, with certain exceptions; arrest records may not be considered at all.  Ban-the-box for public and private employment (no inquiry into criminal history until conditional offer made; may consider conviction record within last 10 years but may withdraw offer only if conviction has “rational relationship” to duties)."
IDAHO,Idaho,ID,"Summary: Loss & restoration of civil rights:  All civil rights lost upon sentence of custody for felony, including suspended sentence; restored upon completion of custody sentence, plus period of parole or probation. Firearms rights:  Firearms rights lost only during period of sentence except for certain serious violent crimes, for which restoration is done through application to pardon board five years after completion of sentence. Pardon policy & practice:  Independent board appointed by governor decides for all but most serious offenses, which must be approved by the governor.  Eligibility begins three years after completion of sentence for non-violent offenses and five years for violent offenses.  Relieves legal disabilities, but does not restore firearms rights. Pardons issued regularly and relatively frequently. Judicial expungement & sealing:  Broad authority to reduce felonies to misdemeanors five years after successful completion of probation (or earlier if prosecutor stipulates to reduction).  Also broad authority in court to defer adjudication and vacate plea but record not expunged or sealed.  Certain people with sex offender registration requirements may petition for removal from registry after 10 years.  Juvenile convictions, except for serious offenses, may be expunged after a waiting period.  Non-conviction records may be sealed, except for charges dismissed pursuant to deferred adjudication. Consideration of conviction in employment and licensing:  No general law limiting or regulating consideration of conviction."
ILLINOIS,Illinois,IL,"Summary: Loss & restoration of civil rights:  Vote lost while actually incarcerated following any felony conviction; jury service not lost; office lost upon conviction of any felony.  Vote restored upon release from incarceration; office restored upon completion of sentence for statewide offices (except for crimes involving election fraud) and by pardon only for other offices. Firearms rights:  All firearms rights lost upon any felony conviction; restored by state police after 20 years under certain conditions, or by pardon. Pardon policy & practice:  Governor decides and may consult prisoner review board.  No eligibility requirements.  Public hearings held with confidential recommendations forwarded to the governor.  Relieves all legal disabilities and expunges record if pardon expressly authorizes.   Board hears 500-600 applications each year, 30% from people with misdemeanors.  Process regular but frequency of grants varies with administration. Judicial expungement & sealing:  Sealing available for most misdemeanors, felonies, and deferred adjudication after three-year waiting period.  Exceptions for a handful of listed serious offenses.  Sealing makes records unavailable without court order but does not destroy.  In deciding whether to seal or expunge records, judges may consider specific collateral consequences the individual is facing, the person’s age and employment history, and the strength of the evidence supporting the conviction. Pardon may authorize judicial expungement (physical destruction of records).  Sealing of non-conviction records available immediately upon disposition; expungement after waiting period if no prior convictions.  Most juvenile records expunged automatically after brief waiting period that varies based on offense; non-expunged records are sealed (but may be shared with school authorities). Courts also authorized to issue certificates to relief licensing restrictions (“certificate of relief from disabilities”) and Certificates of Good Conduct.  People with out-of-state and federal offenses eligible for former but not latter. Consideration of conviction in employment and licensing:  Employment discrimination based on conviction prohibited only if conviction is sealed or expunged; agency waiver of restrictions on hiring permits for certain healthcare positions.  Negligent hiring protection where employer relied on certificate of relief from disabilities.  Statutory ban-the-box for private employment (no inquiry into criminal record until first interview or at point of offer); by executive order for public employment (no inquiry into criminal history on employment application). In 2017 comprehensive standards on licensing enacted for most non-healthcare licenses, including requirement that certain mitigating factors be considered and written reasons be given for denial.   Certain records may not be considered. including sealed or expunged records.  These general standards also extended to a number of specific licenses.  Prior to 2017, limits on consideration of conviction in connection with occupational licensing applied only to certain licenses and only where a person had received a certificate of rehabilitation."
INDIANA,Indiana,IN,"Summary: Loss & restoration of civil rights:  Vote and jury service lost while actually incarcerated following conviction of any “infamous crime;” office lost upon conviction of any felony, and court may include 10-year ban from holding office or position of trust for misdemeanor bribery, conflict of interest, or official misconduct.  Vote and jury service restored upon release from incarceration; office restored by pardon. Firearms rights:  Handgun rights lost upon conviction of any felony or domestic battery conviction; can be restored by state police 15 years after offense, or by pardon. Pardon policy & practice:  Governor decides with parole board having authority to review applications and make advisory recommendations; governor must report to legislature at next scheduled meeting; recent governors have required a five-year waiting period and evidence of rehabilitation, with a 15-year waiting period for firearms restoration; parole board notifies victims, court, and prosecutor, and conducts an investigation and hearing where petitioner and interested parties are given an opportunity to be heard. Pardon alleviates punishment and guilt, serving as basis for expungement.  Pardons infrequent. Judicial expungement & sealing:  Mandatory judicial expungement of non-conviction records, misdemeanors, and less-serious felonies, if eligibility criteria met; discretionary expungement of more serious felonies.  Expungement eligibility periods range from one to ten years, based on severity of offense.  After expungement, non-conviction records, and records of misdemeanors and minor felonies are sealed; more serious felonies remain public but marked as expunged. Administrative sealing of convictions from state police after 15 years.  Pardon is automatic basis for expungement. Deferral or continuance of prosecution for drug abusers and alcoholics charged with less serious felonies, if they have no more than one prior conviction. Court may expunge juvenile records at any time upon petition. Consideration of conviction in employment and licensing:  Broad nondiscrimination protection for expunged and sealed offenses in employment process. Fair Credit Reporting Act limits reporting by background checking companies where record has been expunged.  Ban-the-box by executive order for executive branch employment (no inquiry into criminal history on initial job applications, unless conviction precludes employment in particular job); but 2017 law also prohibits local ban-the-box laws. Negligent hiring protection for expunged and sealed offenses as well as criminal history that does not directly relate to underlying civil action. Reforms applicable to occupational and professional licensing enacted in 2018 require licensing agencies to enumerate disqualifying convictions, which must specifically and directly relate to the duties of the occupation; terminate disqualification after five years (except crimes involving sex or violence); apply specific standards to determine whether a license should be granted; and give written reasons for denial and an opportunity for a hearing.  Requirements also extended to licenses granted by units of county and local government."
IOWA,Iowa,IA,"Summary: Loss & restoration of civil rights:  Vote and office lost upon conviction of any “infamous crime,” which is one punishable by imprisonment; jury service not lost but conviction may serve as basis for challenge.  Vote and office restored by gubernatorial restoration of rights or pardon. Firearms rights:  All firearms rights lost upon conviction of any felony; restored by pardon, gubernatorial restoration of rights, or by expungement after a five-year waiting period; no restoration for forcible felonies or firearms offenses. Pardon policy & practice:  Governor decides and may consult parole board; governor must report pardons and reasons to legislature every two years; application may be submitted any time, but policy of governor’s office to require ten years after completion of sentence; five-year waiting period for firearms restoration; no waiting period for restoration of rights; people with out-of-state and federal offenses eligible for restoration of rights; pardon relieves all legal disabilities.  Pardons infrequent in recent years; restoration of citizenship granted more frequently. Judicial expungement & sealing:  Effective July 1, 2019, many misdemeanors may be expunged after eight years, if no pending criminal charges and no more than one deferred judgments, and if all court debt paid. Deferred judgment followed by expungement for first offenses.  A person acquitted of all charges or whose charges have been dismissed is entitled to have the record expunged after 180 days.  Automatic expungement of juvenile records at age 21 if no subsequent offenses; sealing of juvenile records at age 18 upon petition after a two-year waiting period with no subsequent offenses. Juvenile adjudication records are presumptively confidential if they do not involve forcible felony. Consideration of conviction in employment and licensing:  No general law regulating consideration of conviction in employment or licensure, but state applies a “direct relationship” test in connection with some licenses, and has certain lower barriers to licensing based on conviction for electrician, plumber, mechanical, contractor, and barbering licenses."
KANSAS,Kansas,KS,"Summary: Loss & restoration of civil rights:  All civil rights lost upon conviction of any felony; restored upon completion of sentence, except that jury eligibility lost for a minimum of 10 years after conviction. Firearms rights:  All firearms rights lost upon conviction of a “person felony” or drug offense if a firearm was carried at time of offense; five-year or 10-year restrictions for other person felonies; 10-year restrictions for non-person felonies only if committed with a firearm.  Restoration by pardon or expungement. Pardon policy & practice:  Governor decides with mandatory, but non-binding, consultation of parole board; governor must report pardons, but not reasons, to legislature each year; no eligibility requirements; paper review with applicant required to publish application in a newspaper in the county of conviction and to provide notice to prosecutor, judge, and victims; pardon removes legal disabilities but does not expunge conviction.  Pardons rare (expungement preferred relief). Judicial expungement & sealing:  Expungement available for most convictions, excluding serious violent and sex offenses, following a 3–5 year waiting period;  presumption in favor of expungement if court makes certain findings; no expungement for those required to register.  Juvenile expungement, except for most serious offenses, after age 23 and after a two-year waiting period with no subsequent offenses.  Non-conviction records may be expunged on petition to court, subject to certain court-ordered grounds for disclosure.  Consideration of conviction in employment and licensing:  It is a misdemeanor criminal offense for an employer to inquire into an applicant’s criminal record without the applicant’s consent. Conviction may be considered in licensure & certification but may not operate as a bar.  Most licensing boards must list disqualifying crimes, less serious offenses may not be considered after five years, and non-conviction records may not be considered at all.  Aspirants may seek preliminary informal, written advisory opinion as to whether conviction will be disqualifying, for which a maximum fee of $50 may be charged."
KENTUCKY,Kentucky,KY,"Summary: Loss & restoration of civil rights:  Vote and jury service lost upon conviction of any felony; office lost upon conviction of any felony or “high misdemeanor.”  All civil rights restored by pardon or gubernatorial restoration of rights. Firearms rights:  All firearms rights lost upon conviction of any felony after 1994 (handguns only for felony convictions between 1975 and 1994); restored by pardon. Pardon policy & practice:  Governor decides and may consult parole board; governor may also restore rights; governor must publicly file with legislature a list of pardons with reasons; restoration of rights eligible after expiration of sentence or discharge with no pending charges; pardon eligible seven years after completion of sentence; people with federal and out-of-state offenses only eligible for restoration of rights; no public hearing; pardon applications sent directly to governor’s office; full pardon relieves all legal disabilities. Pardons rare during term, restoration of rights more frequent. Judicial expungement & sealing:  Mandatory expungement of single misdemeanor or violation (or series of misdemeanors/violations arising from same incident) after five conviction-free years.  Discretionary expungement for series of misdemeanors/violations not arising from same incident after five conviction-free years.  Under a 2016 law, pardoned convictions, and certain class D felonies may be vacated and the record expunged five years after completion of sentence, if no intervening conviction or pending charges.  Court must hold hearing and there is a $500 filing fee.  Effective June 26, 2019, all other class D felonies, with certain exceptions, are eligible and the fee is reduced to $50, with an additional $250 fee upon expungement.  Upon petition, court may expunge records of misdemeanor or felony cases resulting in dismissal with prejudice or acquittal, or if no indictment after 12 months (and effective June 26, 2019, dismissals without prejudice are eligible after a five-year waiting period).  Expungement available for all juvenile offenses, excluding sex offenses and violent offenses, after a two-year waiting period; automatic expungement of juvenile records not resulting in adjudication at time of disposition.  Consideration of conviction in employment and licensing:  A conviction may not be sole basis for denying public employment or an occupational license unless the offense “directly relates” to position or occupation sought. Scope of agency discretion defined by various factors. Ban-the-box by executive order for public hiring (no inquiries into criminal history until contacted for interview)."
LOUISIANA,Louisiana,LA,"Summary: Loss & restoration of civil rights:  All civil rights lost upon conviction of any felony, but in the case of vote only if “under an order of imprisonment,” including parole or suspended sentence.  Vote and office restored upon completion of sentence; jury service lost permanently.  Effective 3/2019, vote regained five years after release from prison.  First offender pardons guaranteed by state constitution. Firearms rights:  All firearms rights lost upon conviction of any crime of violence, felony drug offense, or sex offense; restored by pardon or automatically 10 years after completion of sentence if no intervening felony. Pardon policy & practice:  Governor may not act without affirmative pardon board recommendation; eligibility begins after completion of sentence, plus payment of costs; public hearings held at regular intervals; approval of four out of five board members required; prosecutor and victims must be notified by board and applicant through publication in newspaper; full pardon restores “status of innocence.”  Pardons infrequent (but see automatic first offender pardons above). Judicial expungement & sealing:  Mandatory expungement of certain felony offenses ten years after completion of sentence, if eligibility requirements met (violent offenses, sex offenses, crimes against minors, and drug trafficking offenses ineligible).  In 2019 those entitled to “first offender pardons” made eligible for immediate expungement, specifically including for drug crimes. Expungement following deferred adjudication for certain noncapital felonies. Most juvenile adjudications may be expunged immediately upon termination of juvenile court jurisdiction; 5 year waiting period for serious offenses.  Expunged records not publicly available, except to law enforcement and certain licensing agencies, but may be used as predicates. Non-conviction records may be expunged at any time but remain available for certain licensing purposes. Consideration of conviction in employment and licensing:  A licensing entity “shall issue” an occupational or professional license to an “otherwise qualified” convicted person unless the conviction involves a felony that “directly relates to the position of employment sought, or to the specific occupation, trade or profession for which the license, permit or certificate is sought.” Exemptions for violent and sex offenses, and for specified professions, including health, education, finance, and law enforcement.  Reasons required, APA enforcement.  Exempt licensing entities required to record and report any actions involving convicted individuals to legislature. Ban-the-box for unclassified state service positions (no inquiry until after interview or conditional offer made). Protection from negligent hiring liability."
MAINE,Maine,ME,"Summary: Loss & restoration of civil rights:  No civil rights lost, even upon incarceration.Firearms rights:  All firearms rights lost for any felony; restored by pardon; may apply to carry a black powder gun five years after completion of sentence. Pardon policy & practice:  Governor decides with a non-statutory advisory scheme; eligibility begins five years after completion of sentence; public hearings held at regular intervals, and board makes confidential recommendations to governor after conducting an investigation; applicant must notify prosecutor and post a notice in the newspaper in county of conviction; pardon relieves all legal disabilities. Pardon frequency varies with administration. Judicial expungement & sealing:  Class E offenses committed between age 18 and 21 must be sealed after four years if no other offenses and other requirements met; otherwise, no general sealing or expungement laws. Non-conviction records generally not publicly available. Information regarding pardoned convictions is considered “non-conviction” data with limited availability and can be deleted from FBI database after 10 years. Juvenile sealing upon petition after a three-year crime-free waiting period. Consideration of conviction in employment and licensing:  Convictions more than three years old or which call for less than a year in prison may not be considered in licensing decisions; certain professions (medical, nursing) have a 10-year debarment."
MARYLAND,Maryland,MD,"Summary: Loss & restoration of civil rights:  Vote lost upon conviction of any felony only if serving a sentence of imprisonment; jury service lost upon conviction with any prison sentence exceeding one year; office eligibility lost if convicted while in office.  Vote restored upon release from prison, except for convictions of buying or selling votes, which is restored only by pardon; jury eligibility restored by pardon; office eligibility regained when restored to the franchise. Firearms rights:  All firearms rights lost upon conviction of any felony or violent crime or misdemeanor carrying a penalty of more than two years imprisonment; restored by pardon. Pardon policy & practice:  Governor decides, and Parole Commission may be consulted; state constitution requires governor to publish notice of pardon in newspaper and to report each pardon, with reasons, to legislature; felony convictions must have 10 crime-free years to be eligible or seven years if Parole Commission waiver is granted; people with misdemeanors must have five crime-free years; 20-year wait for crimes of violence and for controlled substances violations; paper review by parole board, but recommendation to governor is non-binding; pardon lifts all legal disabilities and penalties imposed by conviction; firearms restoration must be express in pardon. People with non-violent first offenses who are pardoned are eligible for expungement.  Pardoning varies with administration, rare under current governor. Judicial expungement & sealing:  Effective Oct. 1, 2018, expungement authorized for certain felonies involving theft, burglary, and drug trafficking.  Expungement authorized in 2017 for over 100 enumerated misdemeanor convictions after a 10-to-15-year waiting period, and is automatic unless prosecutor or victim objects.  “Shielding” (sealing) available for 12 enumerated non-violent misdemeanors after a 3-year waiting period. Expungement confers greater benefits than shielding: expunged records may be opened only by court order and are destroyed after three years. Expungement also available immediately for pardoned nonviolent first offenses; three years after completion of sentence for specified nuisance convictions; after three years for deferred adjudication (“probation before judgment”); after four years for marijuana possession offenses.  Arrest records not leading to charges automatically expunged; other non-conviction records expunged upon petition, with no waiting period effective 2018.  Expungement available after charges transferred to juvenile court; sealing of juvenile records. Consideration of conviction in employment and licensing:  State-wide ban-the-box in public employment (no inquiry into criminal history until opportunity for interview).  Licensing board may not deny license or certificate based on a criminal conviction unless conviction directly related to license sought or issuance would involve unreasonable risk to property or safety. DOC must issue Certificate of Rehabilitation to people with nonviolent and non-sexual felony and misdemeanor offenses who have completed conditions of supervision."
MASSACHUSETTS,Massachusetts,MA,"Summary: Loss & restoration of civil rights:  Vote lost upon conviction of any felony or misdemeanor if actually incarcerated; jury service lost upon conviction for felony or for misdemeanors while incarcerated; imprisonment during term in office results in forfeiture of office, but office is not lost otherwise.  Vote restored upon release; jury service restored seven years after completion of sentence or upon release for misdemeanors. Firearms rights:  All firearms rights lost upon conviction of felony or serious misdemeanor; right to possess shotgun or rifle restored to all but those with drug and violent offenses five years after conviction or release from prison, whichever is later; rights otherwise restored by pardon. Pardon policy & practice:  Governor may not act without affirmative recommendation of Governor’s Council; governor required to report to legislature annually a list of pardons, but not reasons; eligibility begins 15 years after conviction or release from prison for felonies and 10 years for misdemeanors; petitions must be filed with Parole Board, which holds a public hearing and solicits recommendations from attorney general, prosecutor, and sentencing court; Board provides notice to victim and forwards recommendation to governor; records sealed upon pardon.  Pardons infrequent since 1990; none granted by Govs. Romney and Patrick. Judicial expungement & sealing:  With certain exceptions, including firearms offenses, crimes by public officials, and crimes “against public justice” such as perjury and resisting arrest convicted persons are entitled to have their records sealed upon application to the department of probation if they can demonstrate a period of law-abiding conduct: 5 years for a misdemeanor and 10 years for a felony.  Sex offenses subject to a 15-year waiting period.  Immediate sealing available in deferred adjudication cases (“continuance without a finding”), as well as for decriminalized offenses.  Pardon automatically seals.  Non-conviction records may be sealed on court order. Upon discharge from commitment, juvenile rights are restored and past commitment cannot be received in evidence. Consideration of conviction in employment and licensing:   Employers may not inquire into non-conviction records, certain misdemeanor convictions or any other misdemeanor convictions more than five years old.  Licensing agencies may not disqualify based solely on conviction in certain specific professions; licensing authorities are prohibited from disqualifying the applicant based on a felony conviction only if the conviction has been pardoned. Effective 10/2018, licensing authorities must provide a list of the specific criminal convictions that are directly related to license.  State-wide ban-the-box for public and private employment and licensing (no inquiry into criminal history on initial application); City of Boston has broader ban-the-box protection."
MICHIGAN,Michigan,MI,"Summary: Loss & restoration of civil rights:  Vote lost upon conviction of any felony or misdemeanor if actually incarcerated; jury service lost upon conviction of any felony; office lost upon conviction of offenses involving public corruption.  Vote restored upon release; jury service lost permanently unless conviction is pardoned or expunged; office restoration depends upon the offense. Firearms rights:  All firearms rights lost for any felony until three years after completion of sentence, except for certain people with violent or drug offenses who must wait five years and have their privileges restored by a concealed weapons licensing board; earlier restoration with pardon or expungement. Pardon policy & practice:  Governor decides after mandatory, but non-binding, consultation with parole board; governor required to report annually to legislature a list of pardons with reasons; no eligibility criteria; all applications referred to the board; if board holds a hearing, relevant officials must be notified; board’s recommendation is a matter of public record; pardon restores person to same position as if the offense had never been committed. Post-sentence pardons rare in recent years. Judicial expungement & sealing:   Set-aside of a felony conviction after 5-year waiting period if not more than one felony conviction and not more than two misdemeanor convictions; set-aside of one or both misdemeanor convictions after 5-year waiting period if not more than two misdemeanor offenses and no other offenses. Set-aside limits public access to the record, but remains available to law enforcement and counts as predicate.  Probation before judgment for first-time drug offenses with nonpublic records kept by law enforcement.  For people with first offenses found not guilty, or charges dismissed or not prosecuted, records “shall be destroyed.”  With certain exceptions, up to three juvenile adjudications (one felony) may be set aside one year after adjudication or release from detention, or upon reaching age 18, whichever is later.  Most juvenile diversion records must be destroyed at age 17, and most juvenile adjudication records must be destroyed upon reaching age 30. Consideration of conviction in employment and licensing:  Conviction alone may not be basis for licensing authority to find that a person lacks good moral character, but it may be used as evidence in that determination; non-conviction records, convictions that did not result in incarceration, and convictions unrelated to capacity to serve the public cannot be considered by licensing agency. Employers prohibited from inquiring about non-conviction misdemeanor arrests on employment application. Employer may introduce “certificate of employability” from Department of Corrections as evidence of due care in engaging in activity/business with certificate holder."
MINNESOTA,Minnesota,MN,"Summary: Loss & restoration of civil rights:  All civil rights lost upon conviction of any felony; restored upon completion of sentence. Firearms rights:  All firearms rights lost upon conviction of any felony; restored upon completion of sentence except for crimes of violence; also restored by court or pardon. Pardon policy & practice:  Governor and high officials (attorney general, chief justice) act as pardon board, which is required to report to the legislature annually; for a “pardon extraordinary,” which restores all rights and effectively nullifies a conviction, eligibility requires five crime-free years from final discharge for nonviolent crimes or 10 crime-free years for violent offenses (includes drug felonies); commissioner of corrections screens applications and decides which cases should be heard by the board; public hearing with notice to officials and victim and decision announced at end of hearing; pardon extraordinary does not expunge or seal conviction.  Pardon process regular, but grants issued sparingly (about 1/3 of those heard). Judicial expungement & sealing:  Effective January 2015, all misdemeanors and many minor nonviolent felonies may be expunged (sealed) after a two- to five-year waiting period; sealing also available for cases resolved in an individual’s favor or resulting in diversion or stay of adjudication, juvenile delinquency adjudications, and juveniles tried as adults after discharge; balancing test applies with presumption in favor of sealing non-conviction records.  Common law expungement available for most records not eligible for statutory expungement; balancing test applies.  Deferred sentencing for certain felony convictions which may be knocked down to misdemeanors following probation (does not make them eligible for sealing). Consideration of conviction in employment and licensing:  Conviction may not be basis to deny public employment or license unless a “direct relationship” between occupation/license and conviction history, and the individual has not shown “sufficient rehabilitation and present fitness to perform” the job duties or licensed occupation; rehabilitation is established by one year without an arrest after release or by successful completion of probation or parole.  Records of arrest not leading to conviction, convictions that have been expunged, or misdemeanors for which a prison sentence could not be imposed, may not be considered in connection with public employment or licensing decision. State-wide ban-the-box for public and private employment (no inquiries until interview or conditional offer made); protection from negligent hiring liability regarding certain records."
MISSISSIPPI,Mississippi,MS,"Summary: Loss & restoration of civil rights:  Vote lost upon conviction of any crime listed as disqualifying in state constitution; jury service lost upon conviction of “infamous crimes,” which are defined as any crime punishable by death or imprisonment; office lost for conviction of certain specified offenses.  Vote and office restored only by pardon; jury service restored five years after conviction. Firearms rights:  All firearms rights lost for any felony conviction; restored by pardon or by petition to the court. Pardon policy & practice:  Governor decides, and parole board may be consulted; informal policy holds that eligibility begins seven years after completion of sentence; applicants must publish notice prior to making application to the governor’s office; parole board investigates and holds hearing on facially meritorious cases; pardon restores civil rights and removes employment disabilities, but does not result in expungement.  Pardons infrequent, process irregular. Judicial expungement & sealing:  Expungement of first offense misdemeanors, some enumerated minor felonies and a single more serious felony committed before age 21, all after a five-year waiting period.  Effective July 1, 2019, additional felonies made eligible for expungement.  Deferred adjudication followed by dismissal for misdemeanors and certain felonies, with expungement mandated upon successful completion.  Court may seal juvenile records for certain dispositions after reaching age 20. Non-conviction records and records of those processed through treatment courts also eligible for expungement. Consideration of conviction in employment and licensing:  No general law regulating consideration of conviction in employment or licensur"
MISSOURI,Missouri,MO,"Summary: Loss & restoration of civil rights:  Vote and jury service lost upon conviction of any felony; office lost upon conviction of any felony or conviction of misconduct in office.  Vote and office restored upon completion of sentence; jury service restored only by pardon. Firearms rights:  All firearms rights, excluding antique weapons, lost upon conviction of any felony; restored by pardon, and apparently also by expungement. Pardon policy & practice:  Governor decides, and parole board may be consulted for non-binding advice; eligibility begins three years after discharge; pardon applications forwarded to parole board for investigation; no public hearing; pardon relieves all legal disabilities but does not expunge.   Pardons infrequent. Judicial expungement & sealing:  Effective January 1, 2018, felonies and misdemeanors may be expunged, subject to a lengthy list of exceptions for violent offenses, sex offenses, and other more serious offenses; waiting period of 3 years after completion of sentence for misdemeanors and 7 years for felonies; only one felony and two misdemeanors may be expunged in a lifetime; presumption in favor of expungement if eligibility criteria met.  Expungement of non-conviction records subject to same eligibility rules and procedures as convictions, with a 3-year waiting period (eff. January 1, 2018). Arrest records not eligible for expungement under new law eligible to be “closed” under old law (which authorizes sealing for suspended and probationary sentences, and for all cases disposed of favorably to the defendant).  Court may seal and destroy juvenile records after person reaches age 17; juvenile driving records may be expunged after two years or upon reaching age 21. Expunged records unavailable to public, with some exceptions. Consideration of conviction in employment and licensing:  No disqualification from public employment on basis of conviction unless conviction “is reasonably related to the competency of the individual to exercise the right or privilege of which he is deprived.” No denial of licenses “primarily” because of conviction history where sentence is fully discharged; conviction may be “some evidence of an absence of good moral character,” but licensing board also considers the nature and date of the crime and evidence of good character. Ban-the-box by executive order in public employment (questions relating to criminal history removed from initial employment applications)."
MONTANA,Montana,MT,"Summary: Loss & restoration of civil rights:  Vote lost upon conviction of any felony if actually incarcerated; jury service and office lost upon conviction of any felony.  Vote restored upon release; jury service and office restored upon completion of sentence. Firearms rights:  All firearms rights lost if conviction involves use of dangerous weapons; restored by pardon or petition to the court. Pardon policy & practice:  Board of pardons is now advisory, permitting Governor to grant clemency petitions over Board’s recommendation for denial; governor must report pardons, with reasons, to legislature; no eligibility criteria; board may hold a hearing in meritorious cases where all sides are heard and a record made, but not required; pardon removes “all legal consequences” of conviction and is grounds for expungement.  Pardons infrequent. Judicial expungement & sealing:  All misdemeanors eligible for expungement; expungement presumed for all but certain serious offenses after a 5-year waiting period, and expungement discretionary for other misdemeanors.  Only one expungement order in a lifetime. Pardon is also grounds for judicial expungement.  Deferred sentencing for misdemeanors and first felony offenses, after which charges are dismissed and access to records is limited. Upon request, non-conviction records must be returned to defendant or destroyed.  Youth court and associated law enforcement records automatically sealed upon defendant’s reaching age 18. Consideration of conviction in employment and licensing:  Conviction shall not operate as a bar to licensure for any profession, but it may be considered. No law regulates public or private employment."
NEBRASKA,Nebraska,NE,"Summary: Loss & restoration of civil rights:  All civil rights lost upon conviction of any felony.  Vote restored two years after completion of sentence; jury service and office restored only by “warrant of discharge” issued by Board of Pardons. Firearms rights:  All firearms rights lost upon conviction of any felony; restored only by pardon. Pardon policy & practice:  Governor and high officials (secretary of state and attorney general) act as pardon board; eligibility begins 10 years following completion of sentence for felonies and three years for misdemeanors; public hearings held at regular intervals; reasons for approval or denial not given; pardon restores civil rights other than vote; gun rights restored separately.  An average of 80 pardons granted each year, about 25% with firearms privileges. 60% of applicants are granted, Judicial expungement & sealing:  Set-aside for probationers “nullifies” conviction and removes “all civil disabilities and disqualifications” but does not expunge or seal record. Sealing authorized for pardoned convictions and convictions set aside based on status as victim of human trafficking. Automatic and petition-based sealing for juvenile adjudications and non-conviction records. Court records in cases not resulting in conviction is automatically removed from the public record and available only to law enforcement; waiting periods apply depending on type of record. Court orders sealing of administrative records in cases resulting in acquittal or dismissal. Upon petition, expungement of arrest records resulting from law enforcement error. Consideration of conviction in employment and licensing:  Inquiry into sealed non-conviction and juvenile records prohibits in employment and licensing context.  Effective 2019 applicants for occupational licensure may request preliminary determination.  Ban-the-box for public employment (no inquiry into criminal history until determined that applicant meets minimum employment qualification)."
NEVADA,Nevada,NV,"Summary: Loss & restoration of civil rights:  Right to vote lost only during actual incarceration; Right to serve on civil jury restored after discharge from probation or parole or release from prison (if no term of parole); right to serve on criminal jury restored six years after discharge from probation or parole or release from prison.  Office is restored four years after discharge from probation or parole or release from prison.  Revision of law in 2019 replaced complicated system where term of loss and manner of restoration depended upon seriousness of offense and prior record. Firearms rights:  All firearms rights lost upon conviction of any felony; restored by pardon. Pardon policy & practice:  Governor and high officials (justices of supreme court and attorney general) act as pardon board; governor must report every clemency action, without reasons, at the beginning of each legislative session; no formal eligibility requirements, but typically required to wait “a significant period of time”; public hearings held at regular intervals, except for those with non-violent first offenses; pardon removes all disabilities, including firearms and licensing bars; does not erase conviction.  May serve as predicate (ex. federal gun prosecutions).  Process takes about one year.  About 60 grants each year since 2013, about half of those that apply. Judicial expungement & sealing:  Petition to seal available after 2-10 years for felonies and 1–7 years for misdemeanors, if no subsequent convictions; presumption in favor of sealing if criteria met, unless dishonorably discharged from probation. Presumption in favor of sealing if eligible.  Sealed conviction may be denied and has no predicate effect. Automatic juvenile sealing for most offenses at age 21, or earlier upon petition after a three-year waiting period.   Victims of human trafficking may petition to vacate and seal any non-violent offense committed while they were a victim.  Non-conviction records presumptively eligible for sealing after the charges are dismissed, declined for prosecution, or a person is acquitted.  Convictions for subsequently decriminalized conduct are presumptively sealed upon written request to the court. Consideration of conviction in employment and licensing:  Prohibits discrimination based on criminal record in public employment under certain circumstances, bans initial inquiry, sets standards, and provides for enforcement.  In 2019 Nevada enacted first general law regulating occupational licensure, providing for preliminary determination whether conviction will disqualify, recommending that agencies publish disqualifying convictions, requiring each licensing agency to submit quarterly reports to the legislature on the number of petitions received, the number of determinations of disqualification, and the reasons for each."
