State,Name of legal aid organization,Website,Phone number,Address,City/State,Zip
Louisiana,Justice & Accountability Center of Louisiana,https://www.jaclouisiana.org/expungements,504 322 4050,"4035 Washington Avenue, Suite 203","New Orleans, Louisiana",70125
Louisiana,Southeast Louisiana Legal Services,https://slls.org/gethelp/,855-512-3980,715 Saint Ferdinand Street,"Baton Rouge, Louisiana",70802
Maine,Maine Volunteer Lawyers Project,http://vlp.org/our-programs,Southern Maine: 1-800-442-4293 Northern Maine: 1-888-956-4276,56 North St. Suite 100,Portland ME,4101
Maryland,Maryland Legal Aid,https://www.mdlab.org/get-help-services/joining-forces-project/,(443) 863-4040,500 East Lexington Street,"Baltimore, Maryland",21202
Maryland,The Maryland Volunteer Lawyers Services,http://mvlslaw.org,(410) 547-6537 or (800) 510-0050,"201 North Charles Street, Suite 1400","Baltimore, Maryland",21201
Maryland,The Office of the Public Defender,http://www.opd.state.md.us,410-367-1631 x 306,"4151 Park Heights Avenue, Suite 220","Baltimore, Maryland",21215
Maryland,Homeless Persons Represenation Project,http://www.hprplaw.org/get_legal_help/expungement,800-773-4340,"201 North Charles Street, Suite 1104","Baltimore, Maryland",21201
Maryland,LATINO LEGAL ACCESS CLINIC,https://www.clspgc.org/what-we-do/clinics/,240-391-6371,1401 University Blvd. East,"Langley Park, MD",20783
Maryland,Suitland Law Clinic,https://www.clspgc.org/what-we-do/clinics/,240-391-6370,14735 Main Street,"Upper Marlboro, MD",20772
Massachusetts,Greater Boston Legal Services,http://www.gbls.org,617-371-1234,197 Friend Street,"Boston, Massachusets",2114
Michigan,Legal Aid and Defender Assoication,http://semasg.org/lada/,313-967-5555,"613 Abbott Street, 6th floor","Detroit, Michigan",48226
Michigan,Pro Bono Program of Western Michigan,https://www.lawestmi.org/i-need-help/services/,614-774-0672,89 Ionia Avenue NW Suite 400,"Grrand Rapids, Michigan",49503
Minnesota,St. Croix Legal Services,http://www.stcroixlegal.org/expungements/,651-323-2651,522 Fourth Street South,"Stillwater, Minnesota",55082
Minnesota,The Legal Rights Center,http://www.legalrightscenter.org/post-conviction-help.html,(612-337-0030),1611 Park Avenue South,"Minneapolis, Minnesota",55404
Minnesota,Volunteer Lawyers Network,http://vlnmn.org,(612) 752-6677 or (612) 752-6655,"600 Nicollet Mall, Suite 390A","Minneapolis, Minnesota",55402
Minnesota,Neighborhood Justice Center,http://www.njcinc.org,651-222-4703,500 Laurel Avenue,"St. Paul, Minnesota",55102
Mississippi,Mississippi Center for Justice,http://www.mscenterforjustice.org,(601) 352-2269,"5 Old River Place, Suite 203","Jackson, Mississippi",39215
Nebraska,Legal Aid of Nebraska,http://www.legalaidornebraska.org,402-348-1069,"209 South 19th Street, Suite 200","Omaha, Nebraska",68102
Nevada,Nevada Legal Services,https://nlslaw.net/contact/,702-432-0404,530 South 6th Street,"Las Vegas, Nevada",89101
Nevada,Legal Aid Center of Southern Nevada,http://www.lacsn.org/what-we-do/free/classes/record-sealing,702-386-1070,725 East Charleston Boulavard,"Las Vegas, Nevada",89104
New Jersey,Legal Services of New Jersey,http://www/lsnj.org,(732) 572-9100,P.O. Box 1357,"Edison, NJ",08818-1357
New Jersey,Essex-Newark Legal Services,N/A,973-624-4500,5 Commerce Street 2nd floor,"Newark, New Jersey",7102
New Jersey,Volunteer Lawyers for Justice,http://www.vljnj.org,(973) 645-1955,PO Box 32040,"Newark, NJ",7102
New Jersey,South Jersey Legal Services,https://www.lsnj.org,(856) 964-2010,745 Market Street,"Camden, NJ",8102
New Jersey,Burlington County Office,,(609) 261-1088,107 High Street,"Mount Holly, NJ",8060
New Jersey,Cape May County Office,,(609) 465-3001,1261 Route 9 South,"Cape May, NJ",8210
New Jersey,South Jersey Legal Services,N/A,(609) 348-4200,1300 Atlantic Avenue,"Atlantic City, NJ",8401
New Jersey,Ocean County Office,,(732) 608-7794,215 Main Street,"Toms River, NJ",8753
New Jersey,Monmouth County Office,,(732) 414-6750,"303 West Main Street, Third Floor","Freehold, NJ",7728
New Jersey,Cumberland/Salem County Office,,(856) 691-0494,415 W. Landis Avenue-2nd Floor,"Vineland, NJ",8360
New Jersey,Gloucester County Office,,(856) 848-5360,47 Newton Avenue,"Woodbury, NJ",8096
New Mexico,New Mexico Legal Aid,http://www.newmexicolegalaid.org,N/A,301 Gold Avenue SW P.O. Box 25486,"Albuquerque, New Mexico",87102
New York,Legal Action Center,https://lac.org/faqs/,212) 243-1313,225 Varick Street,"New York, New York",10014
New York,Legal Services NYC,http://www.legalservicesnyc.org,917-661-4500,"40 Worth Street, Suite 606","New York, New York",10013
New York,Community Service Society of New York,http://www.cssny.org,212-254-8900,"633 Third Avenue, 10th floor","New York, New York",10017
New York,Legal Aid Society of Mid-New York,http://www.lasmny.org/Mid-NY/HelpLine.shtm,1-877-777-6152,255 Genesse Street 2nd floor,"Utica, New York",13501
New York,LEgal Assistance of Western New York,https://www.lawny.org/node/108/contact-us,315-781-1465,361 South Main Street,"Geneva, New York",14456
New York,Center for Community Alternatives,http://www.communityalternatives.org,315-422-5638,"25 Chapel Street, 7th Floor","Syracuse, New York",13202
North Carolina,Southern Coalition for Social Justice,http://www.southerncoalition.org/program-areas/criminal-justice/clean-slate/,919-323-3380,"1415 West Highway 54, Suite 101","Durham, North Carolina",27707
North Carolina,Legal Aid of North Carolina,http://www.legalaidnc.org/get-help/self-help-clinics/criminal-record-expunction,1-866-219-5262,224 South Dawson Street,"Raleigh, North Carolina",27601
North Dakota,Legal Services of North Dakota,http://www.legalassist.org,800-634-5263,418 E Broadway #7,"Bismarck, North Dakota",58501
Ohio,Legal Aid Socierty of Cleveland,http://lasclev.org,888-817-3777 or 216-687-1900,1223 West Sixth Street,"Cleveland, Ohio",44113
Ohio,Legal Aid Society of Columbus,http://www.columbuslegalaid.org,614-241-2001,1108 City Park Avenue,"Columbus, Ohio",43206
Ohio,Franklin County Public Defender's Office,http://franklincountypa.gov/index.php?section=juvenile-probation_Other-Services_Expungements,717) 261-3863,"373 South High Street, 12th floor","Columbus, Ohio",43215
Ohio,Legal Aid of Western Ohio,http://legalaidline.lawolaw.org/apply-legal-help/,419-724-0030,"525 Jefferson Avenue, Suite 400","Toledo, Ohio",43604
Ohio,Community Legal Aid,http://www.ohiolegalaid.org/pro-bono,800-529-6446 or 1-866-529-6446,10 W Broad St #950,"Columbus, OH",43215
Oklahoma,Legal Aid Services of Oklahoma,http://legalaidok.org,1-888-534-5243,2915 N. Classen Blvd. Ste 500,"Oklahoma City, OK",73106
Oklahoma,Oklahoma Indian Legal Services,http://www.oilsonline.org,405-943-6457,"4200 Perimeter Center Drive, Suite 222","Oklahoma City, Oklahoma",73112
Oregon,The Lawyers Campaining for Equal Justice,http://www.cej-oregon.org,503-295-8442,"620 SW Fifth Ave, Suite 1225","Portland, Oregon",97204
Pennsylvania,Community Legal Services (CLS) (Center City Office),http://www.clsphila.org/,(215) 981-3700,1424 Chestnut Street,"Philadelphia, PA",19102
Pennsylvania,Community Legal Services (CLS) (Law Central North Central),http://www.clsphila.org/,(215) 227-2400,3638 North Broad Street,"Philadelphia, PA",19140
Pennsylvania,Philadelphia Legal Assistance (PLA),http://www.philalegal.org/,(215) 981-3800,"42 South 15th Street, Suite 500","Philadelphia, PA",19102
Pennsylvania,Defender Association of Philadelphia,http://www.philadefender.org/,215-568-3190,1441 Sansom Street,,19102
Pennsylvania,Legal Aid of Southeastern Pennsylvania (LASP),http://www.lasp.org/,(610) 874-8421,410 Welsh Street,"Chester, PA",19013
Pennsylvania,Delaware County Public Defender Office,http://www.co.delaware.pa.us/depts/defender.html,610) 891-4100,"Sweney Building, 313 West Front Street","Media, PA",19063
Pennsylvania,"Office of Judicial Support, Delaware County",,(610) 891-4370,Government Center,"Media, PA",19063
Pennsylvania,Delaware County Bar Association,http://www.delcobar.org/,(610) 566-6627,335 West Front Street P.O. Box 466,"Media, PA",19063
Pennsylvania,Montgomery County Public Defender,http://www2.montcopa.org/montco/Resources/serviceinfo.asp?Organization=131&ServiceID=334&LocationID=205&macro=y,(610) 278-3295,Swede and Airy Streets,"Norristown, PA",19404
Pennsylvania,Montgomery County Clerks of Court,http://coc.montcopa.org/coc/site/default.asp,,Montgomery County Court House,"Norristown, PA",19404
Pennsylvania,Montgomery County Bar Association Referral Service,http://www.montgomerybar.org/,(610) 279-9660,100 West Airy Street,"Norristown, PA",19404
Pennsylvania,Mid Penn Legal Services,https://www.midpenn.org/,(717) 234-0492,213-A N. Front Street,"Harrisburg, PA",17101
Pennsylvania,North Penn Legal Services,https://www.northpennlegal.org/,(877) 953-4250,"559 Main Street, Suite 200","Bethlehem, PA",18018
Pennsylvania,Montgomery County Public Defender,http://www2.montcopa.org/montco/Resources/serviceinfo.asp?Organization=131&ServiceID=334&LocationID=205&macro=y,(610) 278-3295,"Courthouse 2nd Floor, Swede and Airy Streets","Norristown, PA",19404
Rhode Island,Rhode Island Public Defender,http://www.ripd.org/expungement-sealingcriminalrecords.html#undefined14,401-222-3492,160 Pine Street,"Providence, Rhode Island",2903
Rhode Island,Rhode Island Legal Services,http://www.helprilaw.org,800-662-5034,"56 Pine Street, 4th flooer","Providence, Rhode Island",2903
South Carolina,South Carolina Legal Services(Columbia Office),http://www.sclegal.org,(803) 799-9668,2109 Bull Street,"Columbia, SC",29201
South Carolina,South Carolina Legal Services(Conway Office),http://www.sclegal.org,(843) 381-8182,"1201B Creel Street, Wing A-1","Conway, SC",29527
South Carolina,South Carolina Legal Services(Florence Office),http://www.sclegal.org,(843) 413-9500,320 South Coit Street,"Florence, SC",29501
South Carolina,South Carolina Legal Services(Greenville Office),http://www.sclegal.org,(864) 679-3232,701 South Main Street,"Greenville, SC",29601
South Carolina,South Carolina Legal Services(Greenwood Office),http://www.sclegal.org,(864) 223-4879,316 West Cambridge Avenue,"Greenwood, SC",29646
South Carolina,South Carolina Legal Services(Orangeburg Office),http://www.sclegal.org,(803) 533-0116,126 Associate Parkway,"Orangeburg, SC",29118
South Carolina,South Carolina Legal Services(Rock Hill Office),http://www.sclegal.org,(803) 327-9001,214 Johnston Street,"Rock Hill, SC",29730
South Carolina,South Carolina Legal Services(Spartanburg Office),http://www.sclegal.org,(864) 582-0369,148 East Main Street,"Spartanburg, SC",29306
South Dakota,Dakota Plains Legal Services,https://www.dpls.org or http://legalassist.org/,800-658-2297,160 Second Street,"Mission, South Dakota",57555
South Dakota,East River Legal Services,http://erlservices.org/,605-336-9230,"335 North Main Avenue, Suite 300","Sioux Falls, South Dakota",57104
Tenessee,Expungement Mini-Clinic at University of Tennessee College of Law,https://law.utk.edu/clinics/expungement/,865-974-2331,"1505 West Cumberland Avenue, Suite 83","Knoxville, Tennessee",37996-1810
Tenessee,Tennessee Alliance for Legal Services,http://tals.org,1-888-395-9297,"50 Vantage Way, Suite 250","Nashville, Tennessee",37228
Tenessee,Tennessee Courts,https://www.tncourts.gov/expungements,(615) 741-2687,"511 Union Street Nashville City Center, Suite 600","Nashville, TN",37219
Texas,Dallas Volunteer Attorney Program,http://dallasvolunteerattorneyprogram.org/get-help/,214-243-2236,1515 Main Street,"Dallas, Texas",75201
Texas,Abilene,http://internet.lanwt.org/locations,800-922-8591,"500 Chestnut Street, Ste. 901","Abilene, TX",79602
Texas,Amarillo,http://internet.lanwt.org/locations,800-955-6808,"203 West 8th, Ste. 600","Amarillo, TX",79101
Texas,Brownwood,http://internet.lanwt.org/locations,325-646-8659,300 N. Fisk Ave.,"Brownwood, TX 76801",76801
Texas,Dallas,http://internet.lanwt.org/locations,214-855-7892,511 North Akard,"Dallas, TX",75201
Texas,Dallas,http://internet.lanwt.org/locations,469-351-0024,4716 Elsie Faye Heggins Street,"Dallas, TX",75210
Texas,Fort Worth,http://internet.lanwt.org/locations,817-945-9211,"​2001 Beach Street, Unit 510","Fort Worth, TX",76103
Texas,Dallas,http://internet.lanwt.org/locations,469-458-9009,"400 S. Zang Blvd, Suite 1420","Dallas, TX",75208
Texas,Amarillo,http://internet.lanwt.org/locations,806-373-6808,"203 West 8th, Suite 600","Amarillo, TX",79101
Texas,Community Revitalization Project (CRP),http://internet.lanwt.org/locations,806-763-4557,"1001 Main Street, Suite 502","Lubbock, TX",79401
Texas,​Dallas South,http://internet.lanwt.org/locations,972-441-5260,"6969 Pastor Bailey Drive, Suite 210","Dallas, TX",75237
Texas,​Legal Aid Pro Se Assistance (LAPSA),http://internet.lanwt.org/locations,214-653-6108,"600 Commerce Street, Suite 575-H","Dallas, TX",75202
Texas,Denton,http://internet.lanwt.org/locations,800-955-1407,"2220 San Jacinto Blvd., Suite 205","Denton, TX",76205
Texas,Fort Worth,http://internet.lanwt.org/locations,800-955-3959,600 E. Weatherford Street,"Fort Worth, TX",76102
Texas,Lubbock,http://internet.lanwt.org/locations,800-933-4557,1711 Avenue J,"Lubbock, TX",79401
Texas,Mkinney,http://internet.lanwt.org/locations,800-906-3045,"901 N. McDonald Street, Suite 702","McKinney, TX",75069
Texas,Midland,http://internet.lanwt.org/locations,800-926-5630,"10 Desta Drive, Suite 675E","Midland, TX",79705
Texas,Odessa,http://internet.lanwt.org/locations,800-955-1207,"620 N. Grant Street, Suite 410","Odessa, TX",79761
Texas,Plainview,http://internet.lanwt.org/locations,800-955-8491,305 West 7th Street,"Plainview, TX",79072
Texas,San Angelo,http://internet.lanwt.org/locations,844-252-7999,"17 S. Chadbourne Street, Suite 403","San Angelo, TX",76903
Texas,Waxahachie,http://internet.lanwt.org/locations,866-614-3344,"110 E. Main Street, Suite 200","Waxahachie, TX",75165
Texas,Weatherford,http://internet.lanwt.org/locations,800-967-6708,"100 Austin Avenue, Suite 203","Weatherford, TX",76086
Texas,Wichita Falls,http://internet.lanwt.org/locations,800-926-5542,"710 Lamar Street, Suite 300","Wichita Falls, TX",76301
Utah,Utah Legal Clinic,https://utahlegalclinic.com/practice-areas/expungements#are-all-expungements-granted,801-328-9531,214 East 500 South,"Salt Lake City, Utah",84111
Utah,Utah Legal Services(​Provo),http://www.utahlegalservices.org,(801) 328-8891,205 N 400 W,"Salt Lake City, UT",84103
Utah,Utah Legal Services(​Ogden),http://www.utahlegalservices.org,(801) 374-6766,455 N University Ave,"Provo, UT",84601
Utah,Utah Legal Services(​St. George),http://www.utahlegalservices.org,(801) 394-9431,298 24th St,"Ogden, UT",84401
Utah,Utah Legal Services(​Salt Lake City),http://www.utahlegalservices.org,(435) 628-1604,229 St George Blvd,"St George, UT",84770
Virgina,Legal Services of Northern Virginia,http://www.lsnv.org,866-534-5243 or 703.778.6800,4080 Chain Bridge Road 1st floor,"Fairfax, Virginia",22030
Virgina,Southwest Virginia Legal Aid Society,http://www.swvalegalaid.org,276-783-8300,227 West Cherry Streer,"Marion, Virginia",24354
Washington,Northwest Justice Project,https://nwjustice.org/get-legal-help,1-800-621-4636. 211,"401 Second Avenue S, Suite 407","Seattle, Washington",98104
Washington,Center for Justice,https://cforjustice.org/legal-services/clearing-my-record/,509-835-5211,"35 West Main Street, Suite 300","Spokane, Washington",99201
West Virginia,Legal Aid of West Virginia,http://www.lawv.net,1-866-255-4370,"922 Quarrier Street, 4th floor","Charleston, West Virginia",25301
Wisconsin,Legal Action of Wisconsin,http://www.legalaction.org,855-947-2529.,"230 West Wells Street, Room 800","Milwalkee, Wisconsin",53203
Wyoming,Legal Aid of Wyoming,http://www.lawyoming.org,1-877-432-9955,1813 Carey Avenue,"Cheynne, Wyoming",82001
