State,Type of Administration,Type of Process,Eligibility Requirements,Effect,Frequency of Grants,Alternative Restoration
IA,"Governor decides ""subject to such regulations as may be provided by law."" Iowa Const. art. IV, § 16. Parole board authorized to provide advice. Iowa Code §§ 914.1-914.7. Governor reports to legislature on pardons issued and reasons. Iowa Const. art. IV, § 16.","Paper review, no public hearing for pardon and restoration of rights. Separate firearms restoration procedure. Iowa Code § 914 et seq.","10 years for pardon, 5 years for firearms; no waiting period for restoration of rights. Out-of-state and federal eligible for ROR. Iowa Code § 914.2.","Pardon relieves all legal disabilities (incl. public employment disabilities). See Slater v. Olson, 299 N.W. 879 (Iowa 1941). Restoration of rights restores right to vote and hold public office, may also restore firearms rights. Does not seal or expunge.","Uneven, varies with administration: Average of 35 full pardons each year between 2005 and 2011 (fewer since 2009 and in recent years increasingly rare), with another 30-60 grants to restore civil rights and firearms privileges",Restoration of gun rights by governor; Deferred adjudication and expungement for some first offenders.Iowa Code §§ 907.3; 914.7
KS,"Governor decides, subject to regulations and restrictions by law. Kan. Const. art. I, § 7. The governor required to seek the advice of the prisoner review board, though not bound to follow it, Kan. Stat. Ann. § 22-3701(4). Reports to legislature on each pardon application but need not give reasons. Kan. Stat. Ann. § 22-3703.","Paper review. Applicant must publish a copy of the application in a newspaper in county of conviction at least 30 days before grant or pardon is void. Applicant must also provide notice of application to DA, judge and victim. Kan. Stat. Ann. § 22-3701 et seq.","No eligibility requirements, except that only Kansas state convictions are eligible to be pardoned or commuted. Kan. Stat. Ann. § 22-3701.","Pardon removes disabilities imposed under state law, but does not expunge conviction or lift bar to service as a law enforcement officer.Cf.Kan. Att'y Gen. Op. No. 85-165 (1985). May be used as predicate.","Rare: Pardons very rare, primarily for miscarriage of justice",Expungement for many felony offenses. Kan. Stat. Ann. § 21-4619 et seq.
KY,"Governor decides, parole board may be consulted. Ky. Const. § 77. Governor may also restore rights of citizenship, office. Id. §§ 145, 150. Governor reports to legislature reasons for each grant. Id. § 77.",No public hearing. Pardon applications sent directly to the governor with reasons for seeking relief and letters of recommendation. Simplified ROR process administered by DOC. Ky. Rev. Stat. Ann. § 439 et seq.,"For restoration of rights, expiration of sentence with no pending charges. For pardon 7-year waiting period. Federal and out-of-state offenders eligible for restoration of rights.Arnett v. Stumbo, 153 S.W.2d 889 (1941).","Restoration of citizenship restores a person's right to vote and eligibility for jury service. A full pardon relieves additional legal disabilities. May be used as predicate. Ky. Const. § 145(1); Leonard v. Corrections Cabinet, 828 S.W.2d 668 (Ky. Ct. App. 1992)","Uneven: Pardons during term have been rare, but current governor (Bevin) may depart from this practice, announcing 10 pardons in July 2017 and indicating there would be more. ROR to restore vote frequent.",Misdemeanor expungement. Ky. Rev. Stat. Ann. § 431.078.
LA,"""Upon favorable recommendation of the Board of Pardons,"" the Governor may pardon ""those convicted of offenses against the state.""La. Const. art. IV, § 5(E)(1); La. Rev. Stat. Ann. § 15:572(A).","Regular public hearings, approval by four of five board members; DA and victim notified by board, and by applicant through publication of application in newspaper. La. Const. art. IV, § 5(E)(2); La. Rev. Stat. Ann. 15:572.1.","Completion of sentence, plus payment of costs. La. Const. art. IV, § 5(E)(1); La. Rev. Stat. Ann. § 15:572(A); see Op. La. Att'y Gen. No. 04-0080 (2005).","Full pardon restores to ""status of innocence,"" conviction cannot be used to enhance punishment. State v. Riser, 30,201 (La. App. 2 Cir. 12/12/97).","Infrequent/uneven:In 4 years, Gov. Jindal issued 36 pardons and commuted one sentence, failing to act on hundreds of recommendations from the Board. Previous governors granted 331 (in 4 years) and 476 (in 8 years). Edwin Edwards granted over 3,000 in 16 years.","Deferred adjudication and expungement. La. Const. art. IV, § 5(E)(1); La. Rev. Stat. Ann. § 15:572(B)(1)."
ME,"Governor decides, subject to regulation ""relative to the manner of applying."" Non-statutory advisory scheme. Me. Const. art. V, pt. 1, § 11.","Public hearings at regular intervals; board makes confidential recommendations to governor. Parole board conducts investigation. Applicant notifies DA, publishes notice of hearing in a newspaper 4 weeks beforehand. Me. Rev. Stat. Ann. tit. 34-A, § 5210(4); tit. 15, § 2161.",5 years following completion of sentence.,"Relieves legal disabilities. Me. Rev. Stat. Ann.
tit. 16, §§ 611-622.","Infrequent/uneven: As of April 2013, Gov. Lepage had granted only about 30 pardons since taking office in 2011 . Between 2002 and 2011, Governor Baldacci granted 131 pardons, 51 in his final year. In past about 50 hearings each year, 25% result in pardon.",No other relief provided
MD,"Governor decides, parole board may be consulted. Md. Const. art. II, § 20; Md. Code Ann., Correctional Services § 7-206(3)(ii). Constitution requires governor to publish notice of intention to grant, and to report grants to legislature with reasons. Md. Const. art. II, § 20.","Paper review by Parole Commission, whose recommendations to the governor are not binding.Md. Code Ann. § 7-206(3)(ii).",Felony convictions must have 10 crime-free years to be eligible (seven if Parole Commission waiver granted); misdemeanants must have 5 crime-free years. 20-year wait for crimes of violence and drugs (or 15 if waiver granted).,Pardon lifts all disabilities and penalties imposed. Firearms privileges must be specifically restored in pardon document. Non-violent first offenders entitled to expungement.,"Sparing/Uneven: As of August 2017, Governor Hogan had granted no pardons. Governor O'Malley granted about 150 pardons in his eight years in office, Ehrlich (2003-2007) granted 228 pardons out of a total of 439 applications.","Probation before judgment and expungement.Md. Code Ann., Crim. Proc. § 6-220(b)(1); § 10-105(a)(8)."
MA,"Governor may not act without affirmative recommendation of Governor's Council. Mass. Const. pt. 2, ch. II, sec. I, art. VIII. Governor must report to legislature annually with a list of pardons granted, but not required to give reasons. Mass. Gen. Laws ch. 127, § 152 (2011).","Petitions filed with Parole Board, which recommends to Governor and Council. Mass. Gen. Laws ch. 127, § 152 (2011). Public hearing, referral to AG, DA, court, notice to victim. 120 Mass. Code Regs. 902.02-.12 (2011). Public report to governor and Council. Mass. Gen. Laws ch. 127, § 154 (2011).","15 years after conviction or release from prison for felonies, 10 years for misdemeanors.Governor's Executive Clemency Guidelines (April 22, 2003) at 2.","The governor, upon granting a pardon, orders the records of a state conviction sealed; thereafter, the records of the conviction may not be accessed by the public, and existence may be denied. Mass. Gen. Laws ch. 127, § 152 (2011).May be used as predicate.","Rare:Pardons infrequent since early 1990s, only four since 2002 (by Governor Patrick at the end of his term).","Sealing available for felonies after 5 years, misdemeanors after 10. Mass. Gen. Laws ch. 276, § 100A."
MI,"Governor decides, parole board must be consulted but advice not binding.Mich. Const. Art. 5, § 14; Mich. Comp. Laws §§ 791.243, 791.244. Mustinform the legislature annually of pardons and reasons. Const. Art. 5, § 14.","All applications referred to the board; if board decides to hold hearing, relevant officials must be notified. Recommendation of the board is a matter of public record. Mich. Comp. Laws § 791.244.",No eligibility criteria,"Pardon ""releases the punishment and blots out of existence the guilt, so that in the eye of the law the offender is as innocent as if he had never committed the offense."" People v. Van Heck, 651 N.W.2d 174, 179 (Mich. App. 2002).","Infrequent/uneven: Pardons rare prior to 2006 (only 34 pardons between 1969 and 2006). Gov. Granholm granted 20 pardons, 100 commutations; Rick Snyder granted no pardons during first term, 11 at start of second.",First offender set-aside; probation before judgment for drug offenders. Mich. Comp. Laws § 780.621l; § 333.7411.
MN,"Governor and high officials (attorney general, chief justice) act as board exercising power. Minn. Const. art. V, § 7. Board required to report to legislature by February 15 each year. Minn. Stat. § 638.075.","Commissioner of corrections screens applications, decides which cases should be heard by board. Minn. Stat. § 638.07. Public hearing, notice to officials and victim, decision announced at conclusion of hearing.","For ""pardon extraordinary,"" 5 crime-free years from final discharge for nonviolent crimes, or 10 crime-free years from final discharge for ""violent"" offenses (which includes drug felonies). Minn. Stat. §638.02.","A ""pardon extraordinary"" restores all rights, including firearms rights, and has ""the effect of setting aside and nullifying the conviction,"" so that it need not be disclosed. Minn. Stat. § 638.02. Does not seal or expunge the record, may be used as predicate.","Regular but sparing; 10-20 pardons each year, about one third of those whose cases are heard. Only those deemed eligible are permitted to file an application, and waivers of the eligibility waiting period are rarely granted.",Common law and (narrow) statutory expungement. Minn. Stat. § 609A.
MS,"Governor decides, parole board may be consulted. Miss. Const. art. 5, § 124. Miss. Code Ann. § 47-7-5(3).","Applicants publish notice 30 days before applying, stating reasons. Miss. Const. art. 5, § 124. Facially meritorious cases sent to the parole board, which investigates and holds hearing. Board reports to Governor and legislature annually. Miss. Code Ann. § 47-7-15.",Seven years since completion of sentence by governor's office policy.,"Pardon restores civil rights and removes employment disabilities, gun restrictions, obligation to register. No expungement.",Infrequent/uneven. No regular process. Almost 200 post-sentence pardons at end of Barbour's term considered irregular and unusual.,First misdemeanor and a few minor felony convictions may be expunged. Miss. Code Ann. § 99-19-71.
MO,"Governor grants reprieves and pardons, subject to rules and regulations prescribed for ""the manner of applying."" Mo. Const. art. IV, § 7. Parole board must be consulted, but advice not binding. Mo. Rev. Stat. § 217.800.2.",Applications referred to board for investigation and recommendation. See Mo. Rev. Stat. § 217.800.2. No provision for public hearing. Board meetings on clemency matters may be closed to public. Mo. Rev. Stat. § 217.670.5.,"If still in jail, apply at any time. If out, eligible three years from discharge.","Pardon ""obliterates"" conviction, relieves of all obligations associated with the conviction (including obligation to register as sex offender). No predicate effect. No expungement.","Infrequent/uneven:
Governor Nixon granted 110 pardons during his eight years in office (2009-2017), but prior to that very few in recent years. Number of applications has increased dramatically, in part because of extension of firearms restrictions to long guns in 2008.","Bad check convictions, some public order misdemeanors, andfirst-time minor alcohol offenses may be expunged. Mo. Rev. Stat. §§ 610.140, § 577.054(1). Sealing of some cases sentenced to probation. § 311.326."
MT,"Governor may grant pardons and commutations, and must consult with board of pardons and paroles, but since March 2015 he may grant clemency even if board recommends denial. Mont. Const. art. VI, § 12; Mont. Code Ann. §§ 46-23-104(4), 46-23-301(3)(b). Governor must report grants to legislature including reasons. § 46-23-316.","Board may hold a hearing in meritorious cases where all sides are heard and a record made, but is not required to do so. Governor may ask the Board to hold a hearing if it has declined to do so. See Mont. Code. Ann. § 46-23-301(3)(b).",No eligibility criteria.,"Pardon removes ""all legal consequences"" of conviction, including licensing bars, and is grounds for expungement.","Infrequent: Between 2005 and present, only 25 individuals pardoned.",Deferred adjudication and expungement. Mont. Code. Ann. § 46-18-201.
NE,"Governor and high officials (secretary of state and attorney general) act as board of pardon which exercises power. Neb. Const. art. IV, § 13. Governor chairs board.","Public hearings held quarterly, victims notified. No reasons given. Board of Parole may advise the Board of Pardon ""on the merits of any application . . . but such advice shall not be binding on them."" Neb. Const. art. IV, § 13. Process takes about one year.","Informal rule of 10 years following completion of sentence for felonies, 3 years for misdemeanors.","Restores civil rights other than vote; gun rights must be separately restored. Neb. Rev. Stat. § 83-1,130.","Frequent and Regular:Over 100 pardons granted each year between 2002 and 2013, plus reprieves from driver's license revocations. About 70% of grantees also regained firearms privileges. 50% of applicants are granted, 1/3 misdemeanants.","Set-aside for probationers, no sealing."
NV,"Governor and high officials (justices of state supreme court, and attorney general) act as board exercising power. Nev. Const. art. 5, § 14. Governor must report to the legislature at the beginning of each session every clemency action (no reasons necessary). Nev. Const. art. 5, § 13.","Public hearings at regular intervals, at which applicant must attend; ex. non-violent first offenders may be considered on a paper record. County attorney, court and victim notified 30 days before hearing. Decision by majority (must include governor). One-year process. Nev. Rev. Stat. §§ 213.010, 213.020.","Variable, between five and twelve years from release from prison or discharge from parole. Waivable with consent of a board member. Nev. Admin. Code § 213.065.","Removes all disabilities, including gun disabilities and licensing bars, but does not ""erase conviction"" and licensing boards may condition licensure on finding of good moral character. May serve aspredicate. Nev. Rev. Stat. § 213.090.","Frequent and Regular:An average of 60 grants each year since 2013, more than half of those those that apply. (In 2017, 83 applied, 60 heard, 55 granted.)",Sealing for most convictions after eligibility period of 7-15 years.
NH,"Governor acts upon the advice of the Executive Council. N.H. Const. pt. 2, art. 52. Governor traditionally will not act without majority recommendation from Council.",Notice to state's attorney. N.H. Rev. Stat. Ann. § 4.21. Hearing at direction of Governor. N.H. Rev. Stat. Ann. § 4.28.,"Persons eligible for ""annulment"" under N.H. Rev. Stat. Ann. § 651:5 will generally not be considered for a pardon.","A pardon eliminates all consequences of conviction, but it does not expunge record. Doe v. State, 328 A.2d 784 (N.H. 1974).","Rare:The Attorney General's office receives about 25 applications for clemency per year, but only two pardons and two sentence commutations since 1996.",Annulment available for most felony convictions. N.H. Rev. Stat. Ann. § 651:5.
NJ,"Governor decides, parole board may be consulted. N.J. Const. art. V, § 2, ¶ 1. Governor must report annually to the legislature the particulars of each grant, with the reasons. N.J. Stat. Ann. § 2A:167-3.1.","The Governor may refer applications for pardon to the Parole Board for recommendation. N.J. Stat. Ann. § 2A:167-7, but the recommendation does not bind Governor.",No eligibility criteria.,"Restores rights and make eligible for expungement. In the Matter of the Petition of L.B., 848 A.2d 899, 900 (N.J. Super. 2004).","Infrequent:Recent governors have granted relatively few pardons, and generally only at end of their terms.",First offender set-aside. N.J. Stat. Ann. §§ 2C: 52-1?32.
NM,"Governor decides, (""[s]ubject to such regulations as may be prescribed by law""). N.M. Const. art. V, § 6. Parole board may be consulted. N.M. Stat. Ann. § 31-21-17.","Governor may send application to parole board for investigation. N.M. Stat. Ann. § 31-21-17. Board seeks recommendation from attorney general, judge, prosecuting attorney, and/or the corrections secretary. The victim must be notified.","Completion of sentence (by statute). Gov. guidelines require lengthy waiting periods depending on offense; no first degree felonies, DV or sex offenses, or multiple convictions.","Restores rights of citizenship and relieves other legal disabilities under state law, but does not expunge records, or preclude use of conviction as predicate offense and to enhance subsequent sentence.","Infrequent: Pardons granted only in ""extraordinary circumstances."" Relatively infrequent (Gov. Martinez has issued no pardons; Gov. Richardson issued 80 pardons in 10 years).",Expungement for first offender drug possession; deferred adjudication but conviction remains on record. N.M. Stat. Ann § 30-31-28.
NY,"Governor decides, subject to regulation in ""the manner of applying for pardons."" N.Y. Const. art. IV, § 4.Governor must report annually to legislature on pardons but not his reasons for granting them. Id.","Board of Parole must advise the governor on clemency cases if requested. N.Y. Exec. Law § 259-c (8). Absent exceptional or compelling circumstances, a pardon will not be considered if there is an adequate administrative remedy available.


Special process for misdemeanor/non-violent felony committed at age 16 or 17. Grant is recommended if certain screening requirements are met (including 10 crime-free years), regardless of need or availability of administrative relief.",No eligibility criteria,"A pardon addresses unusual circumstances when adequate relief cannot be obtained by certificate; effect to ""exempt from further punishment."" May serve as predicate.","Uneven: As of July 1, 2017, Gov. Cuomo had granted only seven pardons, most for immigration purposes.
Also, more than 100 “conditional” pardons through the youthful offender program. Gov. Paterson granted 33 immigration pardons in 2010, and a handful of others.",Certificates of relief from disabilities and certificates of good conduct.
NC,"Governor's power unlimited, subject only to regulation in the manner of applying. N.C. Const. art. III, § 5(6). Post Release Supervision and Parole Commission has authority to assist the Governor in exercising his power. N.C. Gen. Stat. § 143B-720(a).","Applications must be submitted to the governor in writing, with statement of reasons. Governor's office of executive clemency (OEC) processes requests, oversees investigations by Parole Commission, and prepares reports. Victim may present a written statement. N.C. Gen. Stat. § 15A-838. DA must also be notified.","General waiting period of 5 years after completion of sentence, per executive policy.","3 types of pardon: pardon of forgiveness (useful in seeking employment); pardon of innocence; and unconditional pardon (""granted primarily to restore an individual's right to own or possess a firearm"").","Rare:Pardons in recent years have been rare - only six pardons since 2001, all granted for innocence. Pardon applications average about 150 annually.","Minor nonviolent felonies and misdemeanors eligible for expungement after 15 years, N.C. Gen Stat. § 15A-145.5."
ND,"Governor decides, N.D. Const. art. V, § 7, and may appoint a ""pardon advisory board,"" consisting of the state attorney general, two members of the parole board, and two citizens. N.D. Cent. Code § 12-55.1-02.","No public hearing; board meets twice a year, applications must be filed 90 days in advance; DA notified.","Inmates who are not eligible for parole can apply to the pardon board; as may non-incarcerated offenders or others who demonstrate ""compelling need.""","Relieves collateral penalties, but no expungement; may serve as predicate. N.D. Cent. Code § 12-55.1-01.","Infrequent:Between 2005 and 2009, 163 applications received but only six pardons granted.",Deferred sentencing; reduction of minor felony offenses to misdemeanors. N.D. Cent Code § 12.1-32-07.
OH,"Governor decides in consultation with parole board. Must report to legislature details of each commutation and pardon granted, and reasons for each. Ohio Const. art. III, § 11; Ohio Rev. Code Ann. § 2967.07.","Application to Parole Board, which conducts investigation. Ohio Rev. Code Ann. § 2967.07. Prior notice to court, prosecutor, victim. Ohio Rev. Code Ann. § 2967.12. Meritorious cases may be granted a hearing, and a recommendation made to governor.",Eligibility at any time.,Pardon forgives the conviction but does not entitle recipient to have court records sealed. State v. Radcliff.,"Sparing: Gov. Kasich has granted 86 pardons through 2016. Gov. Strickland granted 290 pardons in four years, mostly to minor non-violent offenses.",First offender sealing.
